Image,Skin_Tone_R,Skin_Tone_G,Skin_Tone_B
image_1.jpg,120.33648971783836,108.7271162123386,93.41823688825123
image_10.jpg,188.92162840746053,159.41639167862266,155.6041606886657
image_100.jpg,172.6439024390244,131.037087517934,113.57912482065997
image_1000.jpg,148.05509325681493,121.62772596843615,112.90164992826399
image_1002.jpg,153.84386657101865,104.38278335724533,83.23414634146341
image_1003.jpg,140.88253228120516,120.55484218077476,122.92991391678623
image_1004.jpg,189.5140243902439,157.00853658536585,254.52657819225252
image_1005.jpg,148.29856527977046,130.20225968436154,115.78396700143472
image_1006.jpg,142.4828550932568,74.38977761836442,71.65570301291248
image_1007.jpg,165.95491391678624,120.28421807747489,105.96796987087518
image_1009.jpg,140.69035150645624,83.29791965566714,85.41585365853659
image_101.jpg,168.98620689655172,138.7381833473507,127.50857863751051
image_1010.jpg,160.42220229555238,185.97614777618364,230.15523672883788
image_1011.jpg,56.34911525585844,42.988267176789414,37.23692013390722
image_1014.jpg,156.21794046085589,106.69686560755689,125.09492629168456
image_1015.jpg,150.93651362984218,130.29185796269726,119.95448350071736
image_1016.jpg,100.23529411764706,87.10082496413199,98.34250358680058
image_1017.jpg,159.89829427706042,114.72848716722461,100.04913119719433
image_1018.jpg,85.47747112543648,58.68090249798549,49.823059360730596
image_102.jpg,145.67761836441895,104.41571018651364,97.35509325681492
image_1020.jpg,134.14874461979915,95.64978479196557,77.82772596843616
image_1022.jpg,119.90342738721505,115.38813964610235,102.00251873106966
image_1024.jpg,159.29778415431213,120.98479196556671,94.29896381316755
image_1025.jpg,130.20566714490676,113.22510760401721,119.66316355810616
image_1026.jpg,59.67295552367288,56.96987087517934,64.07568149210904
image_1027.jpg,106.15217465461367,100.57755415316392,82.30820399113082
image_1028.jpg,161.5150987224158,132.6454994192799,121.89186991869919
image_1030.jpg,181.46980676328502,118.67654163114521,106.62556834327934
image_1031.jpg,200.18909612625538,154.05419655667146,152.0234218077475
image_1032.jpg,67.2691392733564,56.964100346020764,52.18980680507497
image_1033.jpg,110.03500717360114,101.35188904830225,115.8628726287263
image_1034.jpg,120.20010760401722,88.85939741750359,69.50530846484935
image_1035.jpg,166.25893113342897,114.0303443328551,88.94655667144907
image_1037.jpg,174.56782639885222,118.56025824964132,91.3219512195122
image_1038.jpg,193.807527055403,140.76352770150217,127.90625100952997
image_1039.jpg,176.0833897098095,112.86263129784582,92.69795264376002
image_104.jpg,144.76441753171858,155.34634515570934,172.53380911188003
image_1040.jpg,122.52632711621234,121.32593256814921,130.88923959827832
image_1041.jpg,93.54912375790424,87.34471544715447,102.7962420957543
image_1042.jpg,138.63231707317073,108.8920731707317,90.21865136298422
image_1045.jpg,130.71606886657102,99.00007173601148,76.78615494978479
image_1046.jpg,87.83058345289335,80.94073808385143,65.29730591423561
image_1047.jpg,148.86553084648494,125.12342180774749,117.03106169296987
image_1048.jpg,135.45864418938308,119.93475609756098,110.51054519368724
image_1049.jpg,92.25885541208353,123.66835644827036,136.34710664753706
image_105.jpg,118.14666427546628,95.73974175035868,77.48464849354376
image_1050.jpg,132.75602582496413,102.2504662840746,95.88518651362985
image_1052.jpg,150.73024798154555,122.76607554786621,88.87694636678201
image_1053.jpg,142.47167224613423,113.52724374302566,89.96014666029014
image_1054.jpg,153.06664275466284,91.78622668579627,66.52482065997131
image_1055.jpg,158.7011119081779,148.85918220946914,138.957281205165
image_1056.jpg,163.4090909090909,136.36626544187519,121.61957554640482
image_1057.jpg,179.59394694676874,136.60067651771408,123.04952821790991
image_1058.jpg,168.06201578192253,124.65419655667145,110.21768292682927
image_1059.jpg,194.63633428981348,135.45832137733143,112.63393113342899
image_106.jpg,92.6172804080982,100.84881237047665,106.59276263350868
image_1060.jpg,110.34655510058751,82.84329713370127,81.42125689870038
image_1061.jpg,137.830738177624,95.60506776239907,69.22109284890426
image_1062.jpg,157.12842340188107,124.17570540411286,110.18348477602423
image_1063.jpg,124.15677905308465,103.83554519368722,63.92216642754663
image_1064.jpg,143.6492935409458,90.89435553633218,63.726355247981544
image_1065.jpg,130.24610234337638,88.23290291726447,77.24632552207875
